Src,Rep,Plot,Ind,Tiller,Yrm,doy_max_total_gl,total_gl_at_doy_max,n_leaves_at_doy_max,sum_two_longest_gl_at_doy_max,I,tiller_leaf_surface_area
CF,1,CF1,A,Red,2022,216,66.5,5,42.5,212.5,891.4761589250002
CF,1,CF1,A,Red,2023,185,56.0,4,38.5,154.0,698.8763837000001
CF,1,CF1,B,Red,2022,216,46.0,4,31.5,126.0,593.1172925000001
CF,1,CF1,B,Red,2023,206,56.5,4,39.5,158.0,713.2674237
CF,1,CF1,B,Red,2024,195,51.0,4,40.0,160.0,720.3956873
CF,1,CF1,C,Blue,2022,236,33.0,3,29.5,88.5,437.70910812500006
CF,1,CF1,C,Blue,2023,206,40.0,3,36.0,108.0,520.4886137
CF,2,CF2,A,Red,2022,201,42.5,4,35.0,140.0,647.0953593
CF,2,CF2,A,Red,2023,222,62.5,5,39.5,197.5,845.7486679250001
CF,2,CF2,A,Red,2024,223,70.5,6,37.0,222.0,919.1324093000001
CF,2,CF2,B,Blue,2022,216,30.0,3,24.0,72.0,364.33571930000005
CF,2,CF2,B,Blue,2023,199,25.0,4,18.0,72.0,364.33571930000005
CF,2,CF2,B,Blue,2024,223,35.5,4,21.0,84.0,418.0008377000001
CF,2,CF2,C,Red,2022,236,47.0,4,28.5,114.0,545.1017117
CF,2,CF2,C,Red,2023,206,60.5,6,36.5,219.0,910.5081482000002
CF,3,CF3,A,Blue,2022,201,27.5,3,24.5,73.5,371.13213312500005
CF,3,CF3,A,Blue,2023,213,38.0,5,28.5,142.5,656.503105925
CF,3,CF3,C,Red,2022,216,33.0,4,27.5,110.0,528.7378173
CF,3,CF3,C,Red,2023,236,64.5,4,44.0,176.0,775.8076425
CF,3,CF3,C,Red,2024,223,62.0,5,39.0,195.0,837.8822138
CF,4,CF4,A,Yellow,2023,206,45.5,4,35.0,140.0,647.0953593
CF,4,CF4,A,Yellow,2024,215,63.5,5,35.5,177.5,780.855389925
CF,4,CF4,B,Blue,2022,223,56.0,3,47.0,141.0,650.866865
CF,4,CF4,B,Blue,2023,213,63.0,5,42.0,210.0,884.0300573000001
CF,6,CF6,A,red,2022,194,60.0,5,37.5,187.5,813.8624989250001
CF,6,CF6,A,red,2023,236,57.5,5,35.0,175.0,772.4284658
CF,6,CF6,A,red,2024,230,50.5,4,33.5,134.0,624.2309277
CF,6,CF6,B,blue,2022,223,42.5,3,38.0,114.0,545.1017117
CF,6,CF6,B,blue,2023,213,44.0,4,33.0,132.0,616.5197753000001
CF,6,CF6,C,red,2022,210,77.0,5,45.0,225.0,927.6557858000001
CF,6,CF6,C,red,2023,206,72.5,5,45.0,225.0,927.6557858000001
CF,7,CF7,A,red,2022,236,45.0,4,31.0,124.0,585.2267896999999
CF,7,CF7,A,red,2023,222,75.0,7,38.0,266.0,1034.0310525000002
CF,7,CF7,A,red,2024,230,60.0,5,36.0,180.0,789.2122553
CF,7,CF7,B,blue,2022,236,42.5,3,37.5,112.5,538.986268925
CF,7,CF7,B,blue,2023,206,64.5,4,46.5,186.0,808.9828925
CF,7,CF7,B,blue,2024,223,40.5,3,35.5,106.5,514.272286325
