Sample,d,M,N_alive,height_live,height_total,root_mass,adult,offspring
T1,22.25,346.8,208,9.5,19.5,24.6,208,44
T2,26.9,1005.1,178,12.5,25.75,18.2,178,43
T4,13.25,443.5,71,10.75,21.4,2.06,71,25
T5,17.95,228.7,162,8.625,19.5,5.8,162,43
T6,18.65,349.5,124,11.55,19.8,6.6,124,20
T7,16.25,399.7,160,16.5,28.5,3.6,160,9
T8,6.75,16.4,123,6.35,11.575,2.39,122,43
T9,14,252.2,137,8.875,17.25,3.6,134,41
T10,16.25,544.5,190,10.625,26.125,9.4,189,23
T11,10,248.1,81,8,15,6.3,81,24
T12,12.5,286.4,113,8.25,22,12.2,112,32
T13,8,72.3,48,7.5,14.625,0.768,46,15
T14,11.5,121.6,182,8.125,17.25,11.42,179,31
T15,10.25,35.22,123,9.75,16,0.29,121,33
T17,13.15,261.5,80,11.125,20.5,3.07,80,24
T18,6.4,20.7,56,4.875,8.75,0.36,56,22
T19,14.8,231.8,138,8.75,21.875,6.1,137,26
T20,15.4,445.3,142,11.25,25.5,2.3,142,50
T21,4.95,34.5,10,7.5,16,0.7,10,8
T22,3.85,52.02,15,3.75,16.125,0.38,12,2
T23,8.25,73.9,78,6.875,14.3,1.5,77,10
T24,24.5,497.3,153,11.725,22.525,7.9,145,26
T26,10.5,356.9,42,10.5,29,2.44,42,12
T27,5.1,4.6,38,5.125,8.125,0.237,35,11
T28,2.2,5.2,14,4.5,7.625,0.18,13,7
T29,20.5,513.9,241,14.75,25,19.4,241,87
T30,28,875.28,161,19.5,32.25,11.26,161,35
T32,4.6,11.01,21,5.75,10.75,0.41,21,3
T34,19.5,323.9,242,8.5,19.25,11.3,239,125
T35,24,939.8,238,19.75,28.25,13.1,236,60
T37,32,1700.4,373,17,32.5,37.4,373,94
T39,27.65,955,203,14.325,29.675,27.1,198,40
T40,21.75,510.7,317,14.5,24.125,36.8,313,106
T41,29,1101.7,375,17.1,36.375,33.7,373,86
T42,30.6,2011.8,446,17.75,34.75,51.22,441,114
