site,distance,n_tussocks,area
8_08_1,0,0,4
8_08_1,2,2,4
8_08_1,4,3,4
8_08_1,6,1,4
8_08_1,8,0,4
8_08_1,10,1,4
8_08_1,12,3,4
8_08_1,14,2,4
8_08_1,16,1,4
8_08_1,18,2,4
8_08_1,20,1,4
8_08_1,22,2,4
8_08_1,24,2,4
8_08_1,26,3,4
8_08_1,28,0,4
8_08_1,30,0,4
8_08_1,32,0,4
8_08_1,34,3,4
8_08_1,36,1,4
8_08_1,38,0,4
8_08_1,40,1,4
8_08_1,42,1,4
8_08_1,44,0,4
8_08_1,46,0,4
8_08_1,48,0,4
8_08_1,50,1,4
8_08_1,52,0,4
8_08_1,54,0,4
8_08_1,56,0,4
8_08_1,58,1,4
8_08_1,60,2,4
8_08_1,62,1,4
8_08_1,64,0,4
8_08_1,66,0,4
8_08_1,68,0,4
8_08_1,70,0,4
8_08_1,72,0,4
8_08_1,74,0,4
8_08_1,76,0,4
8_08_1,78,3,4
8_08_1,80,5,4
8_08_1,82,2,4
8_08_1,84,0,4
8_08_1,86,0,4
8_08_1,88,0,4
8_08_1,90,0,4
8_08_1,92,0,4
8_08_1,94,0,4
8_08_1,96,0,4
8_08_1,98,1,4
8_08_1,100,2,4
8_08_1,102,3,4
8_08_1,104,2,4
8_08_1,106,1,4
8_08_1,108,3,4
8_08_1,110,7,4
8_08_1,112,2,4
8_08_1,114,2,4
8_08_1,116,0,4
8_08_1,118,0,4
8_08_1,120,2,4
8_08_1,122,0,4
8_08_1,124,0,4
8_08_1,126,1,4
8_08_1,128,1,4
8_08_1,130,0,4
8_08_1,132,1,4
8_08_1,134,2,4
8_08_1,136,0,4
8_08_1,138,0,4
8_08_1,140,0,4
8_08_1,142,0,4
8_08_1,144,0,4
8_08_1,146,0,4
8_08_1,148,2,4
8_08_1,150,0,4
8_08_1,152,1,4
8_08_1,154,0,4
8_08_1,156,0,4
8_08_1,158,1,4
8_08_1,160,2,4
8_08_1,162,0,4
8_08_1,164,0,4
8_08_1,166,1,4
8_08_1,168,0,4
8_08_1,170,0,4
8_08_1,172,0,4
8_08_1,174,0,4
8_08_1,176,0,4
8_08_1,178,0,4
8_08_1,180,1,4
8_08_1,182,0,4
8_08_1,184,0,4
8_08_1,186,0,4
8_08_1,188,0,4
8_08_1,190,0,4
8_08_1,192,1,4
8_08_1,194,0,4
8_08_1,196,1,4
8_08_1,198,3,4
8_06_1,0,15,4
8_06_1,2,14,4
8_06_1,4,11,4
8_06_1,6,13,4
8_06_1,8,9,4
8_06_1,10,2,4
