site,distance,diam,mass_overall,mass_above,mass_below,mass_mound
7_22_1,1,17.399,514.3198258,12.14812812,20.33195521,481.6344693
7_22_1,1.8,11.938,226.8994896,6.802798844,10.49230699,210.0867261
7_22_1,2.25,20.447,730.3562079,15.57485287,26.99609388,687.2695029
7_22_1,2.7,1.651,3.085202493,0.323688075,0.325039647,2.69161698
7_22_1,4.5,3.683,17.63152345,1.113038862,1.330168049,15.75786543
7_22_1,4.9,13.462,294.5700032,8.184767544,12.95710948,273.7301253
7_22_1,7.5,4.826,31.71802673,1.687347259,2.13827648,28.57876589
7_22_1,13.5,8.89,119.5894844,4.321242326,6.252012534,109.750942
7_22_1,13.9,4.064,21.83569901,1.295147878,1.581208983,19.57312597
7_22_1,14.8,20.066,701.1134549,15.13037049,26.11888127,659.3788542
7_22_1,15.4,12.065,232.176167,6.914518888,10.68912693,215.0408286
7_22_1,18.8,4.191,23.34532169,1.357971914,1.669012556,20.9456965
7_22_1,19.6,3.683,17.63152345,1.113038862,1.330168049,15.75786543
7_22_1,20.5,16.256,443.7337591,10.94165646,18.04477356,414.6860138
7_22_1,21,12.954,270.9542417,7.714200476,12.11069068,251.494038
7_22_1,21.8,11.43,206.4456493,6.362342117,9.720839707,190.8986911
7_22_1,22.7,4.953,33.55936865,1.756182192,2.238082167,30.26149014
7_22_1,23.4,8.509,108.7340692,4.039482663,5.789092107,99.65724545
7_22_1,23.8,12.573,253.939331,7.367729228,11.49209728,235.4896676
7_22_1,24.6,8.001,95.12318035,3.674287585,5.195874828,87.02132796
7_22_1,25.7,13.335,288.5661704,8.066211994,12.74319849,268.0746258
7_22_1,26.4,9.652,142.9828162,4.904405022,7.223454487,131.5446135
7_22_1,26.9,8.128,98.43392101,3.764447256,5.341587596,90.0927388
7_22_1,27.4,3.683,17.63152345,1.113038862,1.330168049,15.75786543
7_22_1,28.4,17.018,490.1661618,11.74106809,19.55651842,458.7102846
7_22_1,29.1,28.829,1540.517861,26.42960356,49.35509419,1464.689269
7_22_1,33.2,15.24,385.6834454,9.906901979,16.11113942,359.7369904
7_22_1,34.5,12.192,237.5183719,7.026874987,10.88751992,220.0580405
7_22_1,36.3,2.286,6.256285696,0.534167749,0.575631199,5.511831065
7_22_1,36.7,9.271,131.0043784,4.609591854,6.730185087,120.3785452
7_22_1,41.5,7.366,79.48176909,3.235133347,4.493529463,72.53155458
7_22_1,42.7,8.509,108.7340692,4.039482663,5.789092107,99.65724545
7_22_1,44.7,16.637,466.6382859,11.33889379,18.79410051,436.3950616
7_22_1,45,8.89,119.5894844,4.321242326,6.252012534,109.750942
7_22_1,46.1,6.223,55.10279403,2.495541223,3.341756014,50.03005868
7_22_1,47.3,9.398,134.9343783,4.707150742,6.892938231,124.0405178
7_22_1,50.7,9.017,123.3320811,4.416633021,6.40971654,113.2339252
7_22_1,53.2,3.429,15.09624708,0.997099902,1.173283417,13.46304664
7_22_1,54,16.129,436.2370106,10.81035022,17.79791976,407.5838811
7_22_1,54.9,7.747,88.684669,3.496279594,4.909672183,81.0525335
7_22_1,56.5,7.747,88.684669,3.496279594,4.909672183,81.0525335
7_22_1,57.8,25.019,1132.219109,21.24861378,38.4785294,1071.909589
7_22_1,58.6,11.43,206.4456493,6.362342117,9.720839707,190.8986911
7_22_1,61,20.828,760.2448791,16.02382477,27.88575563,715.792181
7_22_1,61.3,11.303,201.4947957,6.253849964,9.531947018,186.2580858
7_22_1,62.1,10.033,155.5287265,5.205562968,7.731673204,143.2535579
7_22_1,66.4,13.335,288.5661704,8.066211994,12.74319849,268.0746258
7_22_1,68.4,6.604,62.69588617,2.734578636,3.70935587,57.02594045
7_22_1,68.8,19.431,653.8052094,14.39964985,24.68468103,614.2924053
7_22_1,70.1,13.208,282.629006,7.948263837,12.53082263,262.483528
7_22_1,71,25.654,1195.578491,22.08443713,40.21012243,1132.747424
7_22_1,77.2,13.081,276.7584,7.830925757,12.31998549,256.9567073
7_22_1,86,11.684,216.5422383,6.581279401,10.10340253,200.3673079
7_22_1,87.7,14.351,338.4726058,9.031445558,14.49717749,315.1321538
7_22_1,91.6,17.018,490.1661618,11.74106809,19.55651842,458.7102846
7_22_1,92.1,22.098,864.5649665,17.5523413,30.94049683,815.4625787
7_22_1,94.7,19.558,663.1242582,14.5447787,24.96872888,623.1703202
7_22_1,98.3,6.35,57.57509726,2.574368045,3.462452784,52.30652905
7_22_1,100.3,14.478,345.0136432,9.15476792,14.72324532,321.3072471
7_22_1,101,17.399,514.3198258,12.14812812,20.33195521,481.6344693
7_22_1,101.4,22.352,886.2994865,17.86386187,31.56779458,836.2500363
7_22_1,108.6,26.416,1274.073307,23.10224222,42.33120825,1208.18003
7_22_1,113,14.986,371.8550158,9.653882153,15.64253146,346.6636107
7_22_1,115.7,16.51,458.9343044,11.20593022,18.5428667,429.0914986
7_22_1,117.8,17.526,522.5105263,12.2848919,20.59331506,489.4116634
7_22_1,124.1,22.479,897.2760307,18.02034094,31.88347466,846.7509803
7_22_1,124.6,14.224,331.9990865,8.908710386,14.27261754,309.0224272
7_22_1,129.4,10.922,187.0304949,5.932320016,8.974876196,172.7093854
7_22_1,135.4,7.366,79.48176909,3.235133347,4.493529463,72.53155458
7_22_1,138.4,16.383,451.2994928,11.07351712,18.29309013,421.8551843
7_22_1,138.7,9.144,127.1369956,4.512751088,6.569109306,116.7764033
7_22_1,141.5,21.59,821.9681847,16.93508604,29.70220421,774.7430625
7_22_1,143.7,5.588,43.61392035,2.114519213,2.766190453,39.47089306
7_22_1,145.3,8.255,101.8058738,3.855369927,5.489032401,93.22240689
7_22_1,146.8,19.177,635.380454,14.11092573,24.12078914,596.7449969
7_22_1,148.6,8.128,98.43392101,3.764447256,5.341587596,90.0927388
7_22_1,154.4,9.271,131.0043784,4.609591854,6.730185087,120.3785452
7_22_1,154.9,18.415,581.8070792,13.25713514,22.46290751,545.7634403
7_22_1,156.2,9.906,151.2834666,5.104479067,7.560614739,139.2899903
7_22_1,157.3,10.033,155.5287265,5.205562968,7.731673204,143.2535579
7_22_1,162.5,12.7,259.5448203,7.482599391,11.69674284,240.7606463
7_22_1,162.8,16.764,474.4115288,11.47240591,19.04678887,443.7659778
7_22_1,164.5,7.112,73.64770244,3.065017669,4.224959464,67.13676347
7_22_1,165.6,14.224,331.9990865,8.908710386,14.27261754,309.0224272
7_22_1,166.4,8.636,112.2906334,4.132662225,5.941694309,102.9627758
7_22_1,167,11.303,201.4947957,6.253849964,9.531947018,186.2580858
7_22_1,167.4,26.162,1247.608994,22.76119004,41.61896522,1182.740741
7_22_1,168.7,17.653,530.7711129,12.42219122,20.8561111,497.2569247
7_22_1,172,13.335,288.5661704,8.066211994,12.74319849,268.0746258
7_22_1,175.3,5.842,48.0357898,2.264271345,2.990794506,43.53086175
7_22_1,176.6,13.335,288.5661704,8.066211994,12.74319849,268.0746258
7_22_1,177.6,19.05,626.2745861,13.96733356,23.84094959,588.0753186
7_22_1,179.2,5.715,45.79605297,2.188946566,2.877548816,41.47375446
7_22_1,180.7,15.367,392.6999433,10.03426973,16.34767387,366.3728753
7_22_1,182.3,19.05,626.2745861,13.96733356,23.84094959,588.0753186
7_22_1,183,14.224,331.9990865,8.908710386,14.27261754,309.0224272
7_22_1,186.6,11.684,216.5422383,6.581279401,10.10340253,200.3673079
7_22_1,191.2,18.161,564.5140531,12.97670859,21.92160701,529.3206245
7_22_1,197.8,8.255,101.8058738,3.855369927,5.489032401,93.22240689
7_23_1,0.6,14.5,346.1536049,9.176190342,14.76255967,322.3835994
7_23_1,1.5,9,122.8274943,4.403821918,6.38850853,112.7642539
7_23_1,1.8,4.5,27.24695074,1.515122998,1.891116993,24.49863302
7_23_1,3,9,122.8274943,4.403821918,6.38850853,112.7642539
7_23_1,5.9,3,11.29185998,0.811683803,0.927811582,10.02984913
7_23_1,8.2,9,122.8274943,4.403821918,6.38850853,112.7642539
7_23_1,8.6,18,553.6984122,12.80004825,21.58144704,519.040264
7_23_1,9.8,7,71.15130187,2.991034012,4.108805063,64.83010971
7_23_1,11.5,5,34.25504464,1.781900158,2.275514237,30.89757551
7_23_1,13.4,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,13.7,11,189.944385,5.997660282,9.087745382,175.4376926
7_23_1,14.4,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,14.6,3.25,13.43646445,0.918114671,1.067850388,11.96352643
7_23_1,15.4,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,16.1,3.5,15.78356725,1.029057147,1.216282492,14.08468563
7_23_1,16.2,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,16.8,10.5,171.6861546,5.583189417,8.374794225,158.352239
7_23_1,17.2,11.5,209.2022107,6.42241992,9.825635446,193.4831809
7_23_1,18.2,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,18.8,3.25,13.43646445,0.918114671,1.067850388,11.96352643
7_23_1,20.8,4.75,30.64289611,1.646617927,2.079490064,27.59686992
7_23_1,26,2.25,6.044219404,0.521273962,0.559805699,5.322458132
